"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4609216200938","11.7854690252632","12.1198517051402","12.506167247272","12.8907115812473","13.3241451669262","13.790770355795","14.2228587159501","14.6490632162144","15.1516857449371","15.6155669870633","16.0398818730803","16.5206016843935","16.9536879266278","17.4884967451507","18.0015974395144","18.5582338636477","19.0435720049013","19.5864573309422","20.1920639501441","20.8288135627805","21.372163511874","22.1008839856366","","",
"Afghanistan","AFG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5","6.6","7.7","9","10.5","11.9","13.5","15.1","16.6","18.3","19.9","21.3","22.9","24.5","26.1","27.6","28.8","30.3","31.4","32.6","33.8","34.9","36.1","","",
"Africa Western and Central","AFW","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.99612445604031","5.13084289919952","5.27970032436363","5.45056634063903","5.63667227892687","5.79870052661045","6.00640156185552","6.23423610493171","6.46887912333112","6.70738621156912","7.03748633041868","7.3809133340788","7.79345539180005","8.35062180673506","9.0710280525457","10.0570595534005","11.2713084409921","12.8040354694541","14.6985150102473","16.7147215086044","18.8010084287976","20.7783170785682","22.4445506570957","","",
"Angola","AGO","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.9","41.35","41.5","42.1","41.8","42.7","43.1","43.1","43.7","44","44.6","44.8","45.7","45.95","46.6","47.3","47.8","48.3","48.6","49","49.7","49.8","50","","",
"Albania","ALB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.2","38.3","41.4","45.1","47.8","51.5","54.7","57.65","61","63.7","66.2","69.1","71.3","73.1","75.2","76.6","78.3","79.6","80.7","82","83.1","83.6","84.6","","",
"Andorra","AND","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Arab World","ARB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.1795794775549","75.0827776561727","76.8328515887936","78.2691356243275","79.6418857445249","80.7654724949697","81.7714298025546","82.6278756099344","83.3637318186594","83.9495912116309","84.4164343936767","84.9800424132661","85.483556421","85.8688094925312","86.0821499366495","86.3211601486657","86.4911558174509","86.58376748208","86.523896795486","86.5271286237246","86.5030985484258","86.3477689626588","86.4499192409955","","",
"United Arab Emirates","ARE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Argentina","ARG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.7","96.1","96.6","97","97.5","97.7","98.1","98.4","98.7","99","99.1","99.3","99.4","99.6","99.7","99.7","99.8","99.8","99.8","99.9","99.9","99.9","99.9","","",
